replicon,type,subtype,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,accession_in_sys,Superkingdom,phylum,class,order,family,genus,species,sys_id
GCF_013416105.1_NZ_CP049950,BREX,BREX_I,GCF_013416105.1_NZ_CP049950_04779,GCF_013416105.1_NZ_CP049950_04784,"GCF_013416105.1_NZ_CP049950_04779,GCF_013416105.1_NZ_CP049950_04780,GCF_013416105.1_NZ_CP049950_04781,GCF_013416105.1_NZ_CP049950_04782,GCF_013416105.1_NZ_CP049950_04783,GCF_013416105.1_NZ_CP049950_04784",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","G9174_RS23830,G9174_RS23835,G9174_RS23840,G9174_RS23845,WP_000566901.1,WP_086538008.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,GCF_013416105_NZ_CP049950_BREX_I_2
GCF_003856815.1_NZ_CP024960,BREX,BREX_I,GCF_003856815.1_NZ_CP024960_00738,GCF_003856815.1_NZ_CP024960_00746,"GCF_003856815.1_NZ_CP024960_00738,GCF_003856815.1_NZ_CP024960_00739,GCF_003856815.1_NZ_CP024960_00740,GCF_003856815.1_NZ_CP024960_00741,GCF_003856815.1_NZ_CP024960_00745,GCF_003856815.1_NZ_CP024960_00746",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_124786081.1,WP_124786082.1,CV096_RS03705,CV096_RS03710,CV096_RS03725,CV096_RS03730",Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,GCF_003856815_NZ_CP024960_BREX_I_2
GCF_011045235.1_NZ_CP049204,BREX,BREX_I,GCF_011045235.1_NZ_CP049204_03997,GCF_011045235.1_NZ_CP049204_04002,"GCF_011045235.1_NZ_CP049204_03997,GCF_011045235.1_NZ_CP049204_03998,GCF_011045235.1_NZ_CP049204_03999,GCF_011045235.1_NZ_CP049204_04000,GCF_011045235.1_NZ_CP049204_04001,GCF_011045235.1_NZ_CP049204_04002",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_077907039.1,WP_000566901.1,G6Z93_RS19880,G6Z93_RS19885,G6Z93_RS19890,G6Z93_RS19895",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_011045235_NZ_CP049204_BREX_I_2
GCF_000012825.1_NC_009614,BREX,BREX_III,GCF_000012825.1_NC_009614_03722,GCF_000012825.1_NC_009614_03727,"GCF_000012825.1_NC_009614_03722,GCF_000012825.1_NC_009614_03724,GCF_000012825.1_NC_009614_03726,GCF_000012825.1_NC_009614_03727",4,"BREX__brxF,BREX__pglXI,BREX__brxHII,BREX__pglZ3","WP_105093529.1,WP_012055868.1,WP_012055870.1,WP_012055871.1",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,GCF_000012825_NC_009614_BREX_III_2
GCF_020510545.1_NZ_CP075183,BREX,BREX_I,GCF_020510545.1_NZ_CP075183_03173,GCF_020510545.1_NZ_CP075183_03184,"GCF_020510545.1_NZ_CP075183_03173,GCF_020510545.1_NZ_CP075183_03174,GCF_020510545.1_NZ_CP075183_03178,GCF_020510545.1_NZ_CP075183_03179,GCF_020510545.1_NZ_CP075183_03182,GCF_020510545.1_NZ_CP075183_03183,GCF_020510545.1_NZ_CP075183_03184",7,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","KI616_RS15870,KI616_RS15875,KI616_RS15895,KI616_RS15900,KI616_RS15915,WP_226462339.1,WP_226462340.1",Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga taeniospiralis,GCF_020510545_NZ_CP075183_BREX_I_2
GCF_022569795.1_NZ_CP093011,BREX,BREX_I,GCF_022569795.1_NZ_CP093011_04975,GCF_022569795.1_NZ_CP093011_04977,"GCF_022569795.1_NZ_CP093011_04975,GCF_022569795.1_NZ_CP093011_04976,GCF_022569795.1_NZ_CP093011_04977",3,"BREX__brxL,BREX__pglZA,BREX__pglX1","LJF86_RS24885,LJF86_RS24890,LJF86_RS24895",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_022569795_NZ_CP093011_BREX_I_2
GCF_014168615.1_NZ_AP021917,BREX,BREX_I,GCF_014168615.1_NZ_AP021917_01386,GCF_014168615.1_NZ_AP021917_01391,"GCF_014168615.1_NZ_AP021917_01386,GCF_014168615.1_NZ_AP021917_01387,GCF_014168615.1_NZ_AP021917_01388,GCF_014168615.1_NZ_AP021917_01391",4,"BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZB","WP_182951578.1,H7R73_RS06940,WP_182951580.1,H7R73_RS06960",Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp. WP2-W18-CRE-05,GCF_014168615_NZ_AP021917_BREX_I_2
GCF_023374615.1_NZ_CP090721,BREX,BREX_III,GCF_023374615.1_NZ_CP090721_00914,GCF_023374615.1_NZ_CP090721_00918,"GCF_023374615.1_NZ_CP090721_00914,GCF_023374615.1_NZ_CP090721_00916,GCF_023374615.1_NZ_CP090721_00917,GCF_023374615.1_NZ_CP090721_00918",4,"BREX__brxF,BREX__pglXI,BREX__brxHII,BREX__pglZ3","L0Z19_RS04575,WP_249463956.1,WP_249462782.1,L0Z19_RS04595",Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia multivorans,GCF_023374615_NZ_CP090721_BREX_III_2
GCF_002934425.1_NZ_CP026217,BREX,BREX_I,GCF_002934425.1_NZ_CP026217_03286,GCF_002934425.1_NZ_CP026217_03294,"GCF_002934425.1_NZ_CP026217_03286,GCF_002934425.1_NZ_CP026217_03287,GCF_002934425.1_NZ_CP026217_03289,GCF_002934425.1_NZ_CP026217_03292,GCF_002934425.1_NZ_CP026217_03293,GCF_002934425.1_NZ_CP026217_03294",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","C2U40_RS16550,C2U40_RS16555,C2U40_RS16565,C2U40_RS16580,WP_102989257.1,WP_233768784.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp. ASNIH4,GCF_002934425_NZ_CP026217_BREX_I_2
GCF_018289355.1_NZ_CP072234,BREX,BREX_I,GCF_018289355.1_NZ_CP072234_01515,GCF_018289355.1_NZ_CP072234_01521,"GCF_018289355.1_NZ_CP072234_01515,GCF_018289355.1_NZ_CP072234_01516,GCF_018289355.1_NZ_CP072234_01518,GCF_018289355.1_NZ_CP072234_01519,GCF_018289355.1_NZ_CP072234_01520,GCF_018289355.1_NZ_CP072234_01521",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","INE85_RS07540,INE85_RS07545,INE85_RS07555,INE85_RS07560,WP_211451928.1,WP_211451930.1",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,GCF_018289355_NZ_CP072234_BREX_I_2
GCF_021049305.1_NZ_CP088081,BREX,BREX_I,GCF_021049305.1_NZ_CP088081_02819,GCF_021049305.1_NZ_CP088081_02827,"GCF_021049305.1_NZ_CP088081_02819,GCF_021049305.1_NZ_CP088081_02820,GCF_021049305.1_NZ_CP088081_02822,GCF_021049305.1_NZ_CP088081_02826,GCF_021049305.1_NZ_CP088081_02827",5,"BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZB,BREX__brxL","WP_151122045.1,LRM40_RS14105,WP_151122048.1,LRM40_RS14135,LRM40_RS14140",Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Ideonella,Ideonella dechloratans,GCF_021049305_NZ_CP088081_BREX_I_2
GCF_000348785.1_NC_020520,BREX,BREX_II,GCF_000348785.1_NC_020520_04092,GCF_000348785.1_NC_020520_04098,"GCF_000348785.1_NC_020520_04092,GCF_000348785.1_NC_020520_04093,GCF_000348785.1_NC_020520_04094,GCF_000348785.1_NC_020520_04095,GCF_000348785.1_NC_020520_04097,GCF_000348785.1_NC_020520_04098",6,"BREX__pglW,BREX__pglX2,BREX__pglY,BREX__pglZ2,BREX__brxD,BREX__brxHI","YM304_RS20455,YM304_RS24935,WP_015443641.1,YM304_RS20480,YM304_RS20490,WP_015443645.1",Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter coccineus,GCF_000348785_NC_020520_BREX_II_2
GCF_021276285.1_NZ_CP089919,BREX,BREX_I,GCF_021276285.1_NZ_CP089919_00970,GCF_021276285.1_NZ_CP089919_00975,"GCF_021276285.1_NZ_CP089919_00970,GCF_021276285.1_NZ_CP089919_00972,GCF_021276285.1_NZ_CP089919_00973,GCF_021276285.1_NZ_CP089919_00974,GCF_021276285.1_NZ_CP089919_00975",5,"BREX__pglZB,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","J9880_RS04860,WP_232770161.1,J9880_RS04875,WP_232770163.1,WP_232770164.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella victoriana,GCF_021276285_NZ_CP089919_BREX_I_2
GCF_900639465.1_NZ_LR135297,BREX,BREX_I,GCF_900639465.1_NZ_LR135297_00554,GCF_900639465.1_NZ_LR135297_00559,"GCF_900639465.1_NZ_LR135297_00554,GCF_900639465.1_NZ_LR135297_00555,GCF_900639465.1_NZ_LR135297_00556,GCF_900639465.1_NZ_LR135297_00557,GCF_900639465.1_NZ_LR135297_00558,GCF_900639465.1_NZ_LR135297_00559",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_002321318.1,WP_002321317.1,EQB73_RS03000,EQB73_RS03005,EQB73_RS03010,EQB73_RS03015",Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,GCF_900639465_NZ_LR135297_BREX_I_2
GCF_013416255.1_NZ_CP053215,BREX,BREX_I,GCF_013416255.1_NZ_CP053215_00840,GCF_013416255.1_NZ_CP053215_00846,"GCF_013416255.1_NZ_CP053215_00840,GCF_013416255.1_NZ_CP053215_00841,GCF_013416255.1_NZ_CP053215_00842,GCF_013416255.1_NZ_CP053215_00843,GCF_013416255.1_NZ_CP053215_00845,GCF_013416255.1_NZ_CP053215_00846",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_109426630.1,WP_065184484.1,HLG75_RS04210,HLG75_RS04215,HLG75_RS04225,HLG75_RS04230",Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,GCF_013416255_NZ_CP053215_BREX_I_2
GCF_014788765.1_NZ_CP061832,BREX,BREX_I,GCF_014788765.1_NZ_CP061832_04786,GCF_014788765.1_NZ_CP061832_04791,"GCF_014788765.1_NZ_CP061832_04786,GCF_014788765.1_NZ_CP061832_04787,GCF_014788765.1_NZ_CP061832_04788,GCF_014788765.1_NZ_CP061832_04789,GCF_014788765.1_NZ_CP061832_04790,GCF_014788765.1_NZ_CP061832_04791",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_086059677.1,WP_072679155.1,IFX77_RS23920,IFX77_RS23925,IFX77_RS23930,IFX77_RS23935",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,GCF_014788765_NZ_CP061832_BREX_I_2
GCF_002795845.1_NZ_CP011797,BREX,BREX_I,GCF_002795845.1_NZ_CP011797_01944,GCF_002795845.1_NZ_CP011797_01951,"GCF_002795845.1_NZ_CP011797_01944,GCF_002795845.1_NZ_CP011797_01945,GCF_002795845.1_NZ_CP011797_01947,GCF_002795845.1_NZ_CP011797_01948,GCF_002795845.1_NZ_CP011797_01949,GCF_002795845.1_NZ_CP011797_01950,GCF_002795845.1_NZ_CP011797_01951",7,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","REIFOR_RS09800,REIFOR_RS09805,REIFOR_RS09815,REIFOR_RS09820,REIFOR_RS09825,WP_100257387.1,WP_100257388.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Reinekea,Reinekea forsetii,GCF_002795845_NZ_CP011797_BREX_I_2
GCF_005890195.1_NZ_CP040637,BREX,BREX,GCF_005890195.1_NZ_CP040637_00177,GCF_005890195.1_NZ_CP040637_00180,"GCF_005890195.1_NZ_CP040637_00177,GCF_005890195.1_NZ_CP040637_00179,GCF_005890195.1_NZ_CP040637_00180",3,"BREX__brxHII,BREX__pglZB,BREX__pglX1","WP_138651648.1,FGF80_RS00865,FGF80_RS00870",Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema pallidum,GCF_005890195_NZ_CP040637_BREX_1
GCF_902810275.1_NZ_LR778143,BREX,BREX_I,GCF_902810275.1_NZ_LR778143_00749,GCF_902810275.1_NZ_LR778143_00754,"GCF_902810275.1_NZ_LR778143_00749,GCF_902810275.1_NZ_LR778143_00750,GCF_902810275.1_NZ_LR778143_00751,GCF_902810275.1_NZ_LR778143_00753,GCF_902810275.1_NZ_LR778143_00754",5,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglZA,BREX__brxL","WP_023982161.1,WP_000566902.1,H1C98_RS03730,H1C98_RS03740,H1C98_RS03745",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_902810275_NZ_LR778143_BREX_I_2
GCF_014169975.1_NZ_CP054278,BREX,BREX_III,GCF_014169975.1_NZ_CP054278_03368,GCF_014169975.1_NZ_CP054278_03373,"GCF_014169975.1_NZ_CP054278_03368,GCF_014169975.1_NZ_CP054278_03371,GCF_014169975.1_NZ_CP054278_03372,GCF_014169975.1_NZ_CP054278_03373",4,"BREX__brxF,BREX__pglXI,BREX__brxHII,BREX__pglZ3","HS092_RS16795,WP_047715702.1,WP_047715701.1,HS092_RS16820",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,GCF_014169975_NZ_CP054278_BREX_III_2
GCF_902810285.1_NZ_LR778140,BREX,BREX_I,GCF_902810285.1_NZ_LR778140_04150,GCF_902810285.1_NZ_LR778140_04155,"GCF_902810285.1_NZ_LR778140_04150,GCF_902810285.1_NZ_LR778140_04151,GCF_902810285.1_NZ_LR778140_04152,GCF_902810285.1_NZ_LR778140_04153,GCF_902810285.1_NZ_LR778140_04154,GCF_902810285.1_NZ_LR778140_04155",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_023982161.1,WP_000566902.1,H1C94_RS20640,H1C94_RS20645,H1C94_RS20650,H1C94_RS20655",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_902810285_NZ_LR778140_BREX_I_2
GCF_902810295.1_NZ_LR778141,BREX,BREX_I,GCF_902810295.1_NZ_LR778141_04232,GCF_902810295.1_NZ_LR778141_04237,"GCF_902810295.1_NZ_LR778141_04232,GCF_902810295.1_NZ_LR778141_04233,GCF_902810295.1_NZ_LR778141_04234,GCF_902810295.1_NZ_LR778141_04235,GCF_902810295.1_NZ_LR778141_04236,GCF_902810295.1_NZ_LR778141_04237",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","H1C92_RS21045,H1C92_RS21050,H1C92_RS21055,H1C92_RS21060,WP_000566902.1,WP_023982161.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_902810295_NZ_LR778141_BREX_I_2
GCF_013154915.1_NZ_CP053553,BREX,BREX_I,GCF_013154915.1_NZ_CP053553_02375,GCF_013154915.1_NZ_CP053553_02377,"GCF_013154915.1_NZ_CP053553_02375,GCF_013154915.1_NZ_CP053553_02376,GCF_013154915.1_NZ_CP053553_02377",3,"BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","HND92_RS11875,WP_172207180.1,WP_172207182.1",Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Diaphorobacter sp. JS3050,GCF_013154915_NZ_CP053553_BREX_I_1
GCF_001618365.1_NZ_CP015076,BREX,BREX_I,GCF_001618365.1_NZ_CP015076_03505,GCF_001618365.1_NZ_CP015076_03510,"GCF_001618365.1_NZ_CP015076_03505,GCF_001618365.1_NZ_CP015076_03506,GCF_001618365.1_NZ_CP015076_03507,GCF_001618365.1_NZ_CP015076_03508,GCF_001618365.1_NZ_CP015076_03509,GCF_001618365.1_NZ_CP015076_03510",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_085962535.1,WP_000566901.1,A4R37_RS17885,A4R37_RS17890,A4R37_RS17895,A4R37_RS17900",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_001618365_NZ_CP015076_BREX_I_2
GCF_002327145.1_NZ_CP023422,BREX,BREX_I,GCF_002327145.1_NZ_CP023422_01390,GCF_002327145.1_NZ_CP023422_01397,"GCF_002327145.1_NZ_CP023422_01390,GCF_002327145.1_NZ_CP023422_01391,GCF_002327145.1_NZ_CP023422_01392,GCF_002327145.1_NZ_CP023422_01393,GCF_002327145.1_NZ_CP023422_01396,GCF_002327145.1_NZ_CP023422_01397",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_096234086.1,WP_096234087.1,CNX70_RS06880,CNX70_RS06885,CNX70_RS06900,CNX70_RS06905",Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium svalbardensis,GCF_002327145_NZ_CP023422_BREX_I_2
GCF_016925535.1_NZ_CP070496,BREX,BREX_II,GCF_016925535.1_NZ_CP070496_03103,GCF_016925535.1_NZ_CP070496_03109,"GCF_016925535.1_NZ_CP070496_03103,GCF_016925535.1_NZ_CP070496_03104,GCF_016925535.1_NZ_CP070496_03106,GCF_016925535.1_NZ_CP070496_03107,GCF_016925535.1_NZ_CP070496_03108,GCF_016925535.1_NZ_CP070496_03109",6,"BREX__brxHI,BREX__brxD,BREX__pglZ2,BREX__pglY,BREX__pglX2,BREX__pglW","WP_213171147.1,JQS30_RS15550,JQS30_RS15560,WP_213171151.1,JQS30_RS15570,JQS30_RS15575",Bacteria,Actinomycetota,Actinomycetes,Glycomycetales,Glycomycetaceae,Natronoglycomyces,Natronoglycomyces albus,GCF_016925535_NZ_CP070496_BREX_II_2
GCF_007990425.1_NZ_AP019840,BREX,BREX_I,GCF_007990425.1_NZ_AP019840_00081,GCF_007990425.1_NZ_AP019840_00084,"GCF_007990425.1_NZ_AP019840_00081,GCF_007990425.1_NZ_AP019840_00082,GCF_007990425.1_NZ_AP019840_00083,GCF_007990425.1_NZ_AP019840_00084",4,"BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","FVE79_RS00390,FVE79_RS00395,WP_146995745.1,WP_146995746.1",Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia trevisanii,GCF_007990425_NZ_AP019840_BREX_I_1
GCF_007751035.1_NZ_CP036433,BREX,BREX_II,GCF_007751035.1_NZ_CP036433_06650,GCF_007751035.1_NZ_CP036433_06657,"GCF_007751035.1_NZ_CP036433_06650,GCF_007751035.1_NZ_CP036433_06651,GCF_007751035.1_NZ_CP036433_06654,GCF_007751035.1_NZ_CP036433_06655,GCF_007751035.1_NZ_CP036433_06656,GCF_007751035.1_NZ_CP036433_06657",6,"BREX__pglW,BREX__pglX2,BREX__pglY,BREX__pglZ2,BREX__brxD,BREX__brxHI","Pla8534_RS33040,Pla8534_RS33045,WP_145058317.1,Pla8534_RS33065,Pla8534_RS33070,WP_145058324.1",Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Lignipirellula,Lignipirellula cremea,GCF_007751035_NZ_CP036433_BREX_II_2
GCF_004208635.1_NZ_CP035806,BREX,BREX_I,GCF_004208635.1_NZ_CP035806_00314,GCF_004208635.1_NZ_CP035806_00319,"GCF_004208635.1_NZ_CP035806_00314,GCF_004208635.1_NZ_CP035806_00315,GCF_004208635.1_NZ_CP035806_00316,GCF_004208635.1_NZ_CP035806_00317,GCF_004208635.1_NZ_CP035806_00318,GCF_004208635.1_NZ_CP035806_00319",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","EVS81_RS01570,EVS81_RS01575,EVS81_RS01580,EVS81_RS01585,WP_130108839.1,WP_130108840.1",Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter triazinivorans,GCF_004208635_NZ_CP035806_BREX_I_2
GCF_907163105.1_NZ_OU015321,BREX,BREX_I,GCF_907163105.1_NZ_OU015321_00245,GCF_907163105.1_NZ_OU015321_00252,"GCF_907163105.1_NZ_OU015321_00245,GCF_907163105.1_NZ_OU015321_00246,GCF_907163105.1_NZ_OU015321_00247,GCF_907163105.1_NZ_OU015321_00248,GCF_907163105.1_NZ_OU015321_00251,GCF_907163105.1_NZ_OU015321_00252",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_213195476.1,WP_213195477.1,KKQ76_RS01235,KKQ76_RS01240,KKQ76_RS01255,KKQ76_RS01260",Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Cloacibacterium caeni,GCF_907163105_NZ_OU015321_BREX_I_2
GCF_018802365.1_NZ_CP053882,BREX,BREX_I,GCF_018802365.1_NZ_CP053882_02168,GCF_018802365.1_NZ_CP053882_02170,"GCF_018802365.1_NZ_CP053882_02168,GCF_018802365.1_NZ_CP053882_02169,GCF_018802365.1_NZ_CP053882_02170",3,"BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788","WP_215805223.1,HQ398_RS10760,WP_252353436.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas jandaei,GCF_018802365_NZ_CP053882_BREX_I_1
GCF_021052345.1_NZ_CP088095,BREX,BREX_I,GCF_021052345.1_NZ_CP088095_01355,GCF_021052345.1_NZ_CP088095_01360,"GCF_021052345.1_NZ_CP088095_01355,GCF_021052345.1_NZ_CP088095_01356,GCF_021052345.1_NZ_CP088095_01357,GCF_021052345.1_NZ_CP088095_01358,GCF_021052345.1_NZ_CP088095_01359,GCF_021052345.1_NZ_CP088095_01360",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_231283596.1,WP_231283597.1,RlegSU303_RS06785,RlegSU303_RS06790,RlegSU303_RS06795,RlegSU303_RS06800",Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum,GCF_021052345_NZ_CP088095_BREX_I_2
GCF_017569205.1_NZ_CP071870,BREX,BREX_II,GCF_017569205.1_NZ_CP071870_00118,GCF_017569205.1_NZ_CP071870_00124,"GCF_017569205.1_NZ_CP071870_00118,GCF_017569205.1_NZ_CP071870_00119,GCF_017569205.1_NZ_CP071870_00121,GCF_017569205.1_NZ_CP071870_00122,GCF_017569205.1_NZ_CP071870_00123,GCF_017569205.1_NZ_CP071870_00124",6,"BREX__brxHI,BREX__brxD,BREX__pglZ2,BREX__pglY,BREX__pglX2,BREX__pglW","WP_188333776.1,J4N02_RS00590,J4N02_RS00600,WP_188333772.1,J4N02_RS00610,J4N02_RS00615",Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propioniciclava,Propioniciclava sp. MC1595,GCF_017569205_NZ_CP071870_BREX_II_2
GCF_016767175.1_NZ_CP068564,BREX,BREX_III,GCF_016767175.1_NZ_CP068564_00439,GCF_016767175.1_NZ_CP068564_00443,"GCF_016767175.1_NZ_CP068564_00439,GCF_016767175.1_NZ_CP068564_00441,GCF_016767175.1_NZ_CP068564_00442,GCF_016767175.1_NZ_CP068564_00443",4,"BREX__brxF,BREX__pglXI,BREX__brxHII,BREX__pglZ3","JL105_RS02215,WP_170169650.1,WP_202690578.1,JL105_RS02235",Bacteria,Bacillota,Tissierellia,Tissierellales,Tepidimicrobiaceae,Keratinibaculum,Keratinibaculum paraultunense,GCF_016767175_NZ_CP068564_BREX_III_4
GCF_016767175.1_NZ_CP068564,BREX,BREX_I,GCF_016767175.1_NZ_CP068564_01368,GCF_016767175.1_NZ_CP068564_01374,"GCF_016767175.1_NZ_CP068564_01368,GCF_016767175.1_NZ_CP068564_01369,GCF_016767175.1_NZ_CP068564_01370,GCF_016767175.1_NZ_CP068564_01371,GCF_016767175.1_NZ_CP068564_01372,GCF_016767175.1_NZ_CP068564_01373,GCF_016767175.1_NZ_CP068564_01374",7,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","JL105_RS06885,JL105_RS06890,JL105_RS06895,JL105_RS06900,JL105_RS06905,WP_132026819.1,WP_132026821.1",Bacteria,Bacillota,Tissierellia,Tissierellales,Tepidimicrobiaceae,Keratinibaculum,Keratinibaculum paraultunense,GCF_016767175_NZ_CP068564_BREX_I_3
GCF_019048885.1_NZ_CP077429,BREX,BREX_I,GCF_019048885.1_NZ_CP077429_04434,GCF_019048885.1_NZ_CP077429_04441,"GCF_019048885.1_NZ_CP077429_04434,GCF_019048885.1_NZ_CP077429_04435,GCF_019048885.1_NZ_CP077429_04438,GCF_019048885.1_NZ_CP077429_04439,GCF_019048885.1_NZ_CP077429_04440,GCF_019048885.1_NZ_CP077429_04441",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","KSL85_RS22160,KSL85_RS22165,KSL85_RS22180,KSL85_RS22185,WP_023285783.1,WP_217074486.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,GCF_019048885_NZ_CP077429_BREX_I_2
